variant	algo	seed	rows	densities	eval_n_envs	train_n_envs	timesteps	horizon	summary	path
proposed	ppo	2	150	0.00,0.08,0.15	10	10	500000	1200	d0.00:n50:s0.80:c0.00:r0.97 | d0.08:n50:s0.76:c0.12:r0.95 | d0.15:n50:s0.50:c0.50:r0.78	outputs/reward_screen_completion_plus_safety_nenv10_500k/evaluations/proposed_ppo_s2.csv
proposed	ppo	2	150	0.00,0.08,0.15	10	10	500000	1200	d0.00:n50:s0.90:c0.00:r0.98 | d0.08:n50:s0.74:c0.06:r0.95 | d0.15:n50:s0.44:c0.50:r0.75	outputs/reward_screen_moderate_completion_nenv10_500k/evaluations/proposed_ppo_s2.csv
proposed	ppo	2	150	0.00,0.08,0.15	10	10	500000	1200	d0.00:n50:s0.78:c0.00:r0.97 | d0.08:n50:s0.74:c0.06:r0.94 | d0.15:n50:s0.44:c0.48:r0.75	outputs/reward_screen_safety_soften_nenv10_500k/evaluations/proposed_ppo_s2.csv
proposed	ppo	2	150	0.00,0.08,0.15		4	1000000	1200	d0.00:n50:s0.84:c0.00:r0.97 | d0.08:n50:s0.76:c0.08:r0.93 | d0.15:n50:s0.52:c0.40:r0.79	outputs/stage1000_true_proposed_multiseed/evaluations/proposed_ppo_s2.csv
proposed	ppo	20	150	0.00,0.08,0.15		32	1000000	1500	d0.00:n50:s0.92:c0.00:r0.99 | d0.08:n50:s0.80:c0.14:r0.91 | d0.15:n50:s0.52:c0.38:r0.78	outputs/defensive_proposed_s20s21_nenv32/evaluations/defensive_proposed_ppo_s20.csv
proposed	ppo	20	6	0.00,0.08,0.15		32	1000000	1500	d0.00:n2:s0.92:c0.00:r0.99 | d0.08:n2:s0.83:c0.10:r0.94 | d0.15:n2:s0.58:c0.35:r0.82	outputs/defensive_proposed_s20s21_nenv32/evaluations/summary.csv
proposed	ppo	21	150	0.00,0.08,0.15		32	1000000	1500	d0.00:n50:s0.92:c0.00:r0.99 | d0.08:n50:s0.86:c0.06:r0.97 | d0.15:n50:s0.64:c0.32:r0.85	outputs/defensive_proposed_s20s21_nenv32/evaluations/defensive_proposed_ppo_s21.csv
proposed	ppo	22	150	0.00,0.08,0.15		32	1000000	1500	d0.00:n50:s0.92:c0.00:r0.99 | d0.08:n50:s0.86:c0.04:r0.95 | d0.15:n50:s0.50:c0.36:r0.80	outputs/defensive_proposed_ttc10v18_s22s23_nenv32/evaluations/defensive_proposed_ppo_s22.csv
proposed	ppo	22	6	0.00,0.08,0.15		32	1000000	1500	d0.00:n2:s0.92:c0.00:r0.99 | d0.08:n2:s0.84:c0.07:r0.95 | d0.15:n2:s0.54:c0.35:r0.82	outputs/defensive_proposed_ttc10v18_s22s23_nenv32/evaluations/summary.csv
proposed	ppo	23	150	0.00,0.08,0.15		32	1000000	1500	d0.00:n50:s0.92:c0.00:r0.99 | d0.08:n50:s0.82:c0.10:r0.94 | d0.15:n50:s0.58:c0.34:r0.84	outputs/defensive_proposed_ttc10v18_s22s23_nenv32/evaluations/defensive_proposed_ppo_s23.csv
proposed	ppo	25	150	0.00,0.08,0.15		32	1000000	1500	d0.00:n50:s0.92:c0.00:r0.99 | d0.08:n50:s0.84:c0.08:r0.94 | d0.15:n50:s0.66:c0.20:r0.86	outputs/defensive_proposed_ttc12v18_s24s25_nenv32/evaluations/defensive_proposed_ppo_s25.csv
