#{"t_start": 1782899345.2538424, "env_id": "None"}
r,l,t,is_success,episode_cost,episode_base_reward,episode_shaped_reward,episode_collision,episode_crash_vehicle,episode_crash_object,episode_out_of_road,episode_route_completion,episode_length,episode_mean_speed,episode_mean_lane_deviation,episode_max_lane_deviation,episode_steering_variation,episode_accel_variation,episode_jerk,episode_ttc_risk,episode_min_ttc,episode_risk_gate_rate,episode_continuous_risk_penalty,episode_event_risk_penalty,shield_intervention,shield_soft,shield_hard,overspeed_guard,shield_intervention_rate,shield_soft_rate,shield_hard_rate,overspeed_guard_rate,episode_rcpo_cost_lambda,curriculum_stage
13.130877,686,115.828834,0.0,0.0,19.487764618064737,13.130876598183601,0.0,0.0,0.0,0.0,0.2645664763050405,686,4.947709110042299,0.9953632998841654,1.750597476122366,0.7803232829974361,0.4588589752554546,0.38166157705790793,0.0,nan,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,138.5,0.0
47.696049,600,119.728981,0.0,0.0,57.299620614724674,47.69604883017662,0.0,0.0,0.0,0.0,0.7848746174271407,600,6.054928337316579,0.4380188893979092,1.0784546652983273,0.7862293759733439,0.4698659578462442,0.3593191734949748,0.0,nan,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,126.5,0.0
46.382525,600,122.090389,0.0,0.0,44.39655908655416,46.382524976860545,0.0,0.0,0.0,0.0,0.9061415144527826,600,6.65152237019584,0.6794486040760085,1.933767902132062,0.737134610787034,0.4480137055615584,0.35643593192100526,0.0,nan,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,111.5,0.0
112.875745,738,127.234426,1.0,0.0,96.2378301597407,112.87574541696273,0.0,0.0,0.0,0.0,0.9568943445697439,738,5.360715497824195,0.4255473623687523,1.292182922526425,0.7589396283202136,0.46021773127036364,0.3622377235391922,0.0,nan,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,94.0,1.0
78.962794,800,133.441708,0.0,0.0,115.76429051953045,78.96279357275034,0.0,0.0,0.0,0.0,0.7143549437661684,800,8.820604709529304,0.4281418315410186,0.9966128241005516,0.7133024424966424,0.36844752803444863,0.31037880465388296,0.0,nan,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,77.25,1.0
48.619555,600,137.206951,0.0,0.0,74.88015261461629,48.61955519128635,0.0,0.0,0.0,0.0,0.3959826294659403,600,7.831430130448724,0.4321390329112443,0.9896825455499891,0.7726674852271874,0.38060453633467356,0.3275661454598109,0.0,nan,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,63.75,0.0
112.457259,393,140.231367,1.0,0.0,88.32611787857454,112.45725875521293,0.0,0.0,0.0,0.0,0.9581399938641904,393,9.865085870759907,0.36051134804761215,0.9995124579535224,0.6929301846459621,0.3171917755185193,0.2968334460076485,0.0,nan,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,57.5,0.0
101.873651,322,141.736058,1.0,0.0,68.25539009761664,101.87365133631283,0.0,0.0,0.0,0.0,0.9465318762501509,322,9.70606202539691,0.39184944955518225,0.9919230460891755,0.6896487489712905,0.3626693257633944,0.3220700232878975,0.0,nan,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,43.0,0.0
-20.871278,103,142.37268,0.0,1.0,10.049257475798036,-20.8712777284101,0.0,0.0,0.0,1.0,0.40680311778969597,103,13.000805808961669,0.34556897537537445,1.0917951531438272,0.6936317162895665,0.19562013288146085,0.17273825580633959,0.0,nan,0.009708737864077669,0.0,38.0,0,0,0,0,0.0,0.0,0.0,0.0,38.0,1.0
25.522671,382,145.069528,0.0,1.0,81.26496511151484,25.522671071423357,0.0,0.0,0.0,1.0,0.37633961718886716,382,13.556920356275315,0.3387763114635458,1.0934788212080668,0.7256341867382926,0.2922026262233395,0.25647497286347193,0.0,12.916284335920611,0.002617801047120419,0.0,26.0,0,0,0,0,0.0,0.0,0.0,0.0,26.0,1.0
84.905215,1000,152.540346,0.0,0.0,135.3623397637245,84.90521455588903,0.0,0.0,0.0,0.0,0.6008014891342283,1000,8.69188103139131,0.45683943366070695,1.2889969365797913,0.7115052021369338,0.3886022772192955,0.34573520642518996,0.0,nan,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,19.0,2.0
19.545865,330,156.536348,0.0,1.0,60.37881950233947,19.5458654159813,0.0,0.0,0.0,1.0,0.20688185549371826,330,14.524580709432673,0.4654650319411952,1.0492511205633355,0.7068736497199897,0.26243603446266867,0.21839406111023643,0.0,24.18430862296312,0.0030303030303030303,0.0,16.75,0,0,0,0,0.0,0.0,0.0,0.0,16.75,2.0
75.195483,757,166.118251,0.0,1.0,141.8723169331552,75.19548256958633,0.0,0.0,0.0,1.0,0.3386441367669579,757,11.847298657521462,0.377707935343283,1.417247106418767,0.6347019404733906,0.35357813405234717,0.2980372889196227,0.0,nan,0.001321003963011889,0.0,5.5,0,0,0,0,0.0,0.0,0.0,0.0,5.5,2.0
68.244566,589,177.008034,0.0,1.0,163.40551308851468,68.2445659407909,0.0,0.0,0.0,1.0,0.34639364655111726,589,19.159199363793775,0.4448612341455308,1.9153862663372114,0.6818492870480581,0.23598471784834546,0.22078667391338253,0.0,11.579924543108103,0.001697792869269949,0.0,23.75,0,0,0,0,0.0,0.0,0.0,0.0,23.75,1.0
